t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,touch_x_px,touch_y_px,touch_x_mm,touch_y_mm
1.1884,343,0,131.4486,-90.5103,688.9366,-0.2641,0.0625,-0.0027,0.9625,1112.0000,1869.0000,1863.0000,,,,
1.1972,343,0,131.4486,-90.5103,688.9366,-0.2641,0.0625,-0.0027,0.9625,1099.0000,1875.0000,1863.0000,,,,
1.2080,343,0,131.4486,-90.5103,688.9366,-0.2641,0.0625,-0.0027,0.9625,1083.0000,1875.0000,1863.0000,,,,
1.2199,343,0,131.4486,-90.5103,688.9366,-0.2641,0.0625,-0.0027,0.9625,1068.0000,1875.0000,1863.0000,,,,
1.2316,343,0,144.6322,-145.1521,939.0266,-0.1532,0.5348,0.1743,0.8124,1053.0000,1875.0000,1863.0000,,,,
1.2456,343,0,144.6322,-145.1521,939.0266,-0.1532,0.5348,0.1743,0.8124,1031.0000,1875.0000,1863.0000,,,,
1.2562,343,0,144.6322,-145.1521,939.0266,-0.1532,0.5348,0.1743,0.8124,1015.0000,1875.0000,1863.0000,,,,
1.2649,343,0,144.6322,-145.1521,939.0266,-0.1532,0.5348,0.1743,0.8124,1004.0000,1875.0000,1863.0000,,,,
1.2757,343,0,144.6322,-145.1521,939.0266,-0.1532,0.5348,0.1743,0.8124,991.0000,1875.0000,1863.0000,,,,
1.2882,343,0,136.5711,-62.2028,645.6443,-0.1687,0.0628,-0.0491,0.9824,981.0000,1875.0000,1863.0000,,,,
1.2996,343,0,136.5711,-62.2028,645.6443,-0.1687,0.0628,-0.0491,0.9824,1007.0000,1875.0000,1863.0000,,,,
1.3122,343,0,136.5711,-62.2028,645.6443,-0.1687,0.0628,-0.0491,0.9824,1030.0000,1875.0000,1863.0000,,,,
1.3218,343,0,136.5711,-62.2028,645.6443,-0.1687,0.0628,-0.0491,0.9824,1044.0000,1873.0000,1863.0000,,,,
1.3322,343,0,136.5711,-62.2028,645.6443,-0.1687,0.0628,-0.0491,0.9824,1054.0000,1865.0000,1863.0000,,,,
1.3435,343,0,8.0495,-45.3739,609.8843,-0.1483,0.3641,0.0523,0.9180,1062.0000,1857.0000,1863.0000,,,,
1.3565,343,0,8.0495,-45.3739,609.8843,-0.1483,0.3641,0.0523,0.9180,1073.0000,1848.0000,1863.0000,,,,
1.3681,343,0,8.0495,-45.3739,609.8843,-0.1483,0.3641,0.0523,0.9180,1080.0000,1842.0000,1863.0000,,,,
1.3798,343,0,8.0495,-45.3739,609.8843,-0.1483,0.3641,0.0523,0.9180,1084.0000,1837.0000,1863.0000,,,,
1.3885,343,0,156.0908,-71.9880,773.1586,-0.3133,0.5698,0.2926,0.7011,1093.0000,1830.0000,1863.0000,,,,
1.3998,343,0,156.0908,-71.9880,773.1586,-0.3133,0.5698,0.2926,0.7011,1141.0000,1802.0000,1863.0000,,,,
1.4126,343,0,156.0908,-71.9880,773.1586,-0.3133,0.5698,0.2926,0.7011,1185.0000,1776.0000,1863.0000,,,,
1.4238,343,0,156.0908,-71.9880,773.1586,-0.3133,0.5698,0.2926,0.7011,1214.0000,1758.0000,1863.0000,,,,
1.4359,343,0,156.0908,-71.9880,773.1586,-0.3133,0.5698,0.2926,0.7011,1239.0000,1741.0000,1863.0000,,,,
1.4480,343,0,61.4364,-69.3575,711.2949,-0.3243,0.5476,0.2970,0.7119,1261.0000,1726.0000,1863.0000,,,,
1.4574,343,0,61.4364,-69.3575,711.2949,-0.3243,0.5476,0.2970,0.7119,1298.0000,1704.0000,1863.0000,,,,
1.4683,343,0,61.4364,-69.3575,711.2949,-0.3243,0.5476,0.2970,0.7119,1335.0000,1682.0000,1863.0000,,,,
1.4802,343,0,61.4364,-69.3575,711.2949,-0.3243,0.5476,0.2970,0.7119,1366.0000,1662.0000,1863.0000,,,,
1.4925,343,0,61.4364,-69.3575,711.2949,-0.3243,0.5476,0.2970,0.7119,1392.0000,1644.0000,1863.0000,,,,
